Crop,Area_hectares,Temperature_C,Rainfall_mm,N_kg_ha,P_kg_ha,K_kg_ha,Fertilizer_kg_ha,Irrigation_percent,Yield_tons_per_hectare
mungbean,7.68,22.16,707.1,40.8,36.5,26.3,110.8,37.0,1.31
muskmelon,3.64,31.0,625.4,54.5,27.9,47.6,121.7,44.0,15.53
rice,5.47,27.78,1114.8,75.5,32.4,43.2,79.7,58.2,3.16
blackgram,4.85,27.02,945.2,61.1,31.2,17.2,78.9,42.6,2.04
cotton,1.74,26.25,651.1,67.5,39.6,46.6,113.8,53.4,3.07
pigeonpeas,7.46,23.94,948.9,53.9,40.1,33.7,82.5,67.4,1.51
kidneybeans,10.48,18.1,618.3,76.4,31.6,29.3,58.6,31.9,2.43
rice,6.85,27.42,1308.4,67.5,31.7,38.6,67.5,52.8,4.72
mungbean,6.81,26.54,633.6,31.4,20.7,34.2,68.1,45.7,1.51
maize,4.59,24.76,794.2,115.1,40.6,25.3,150.3,58.5,6.77
cotton,5.47,27.27,578.3,78.7,36.1,35.7,140.9,36.8,2.99
pomegranate,3.43,24.18,604.8,40.6,20.9,48.2,92.0,29.0,11.69
chickpea,9.19,15.51,540.2,44.4,27.7,44.9,125.9,10.0,1.76
maize,13.53,26.75,554.5,92.5,37.5,51.0,152.0,89.3,5.45
watermelon,3.53,26.61,437.2,65.1,42.7,47.2,129.0,62.5,29.08
pomegranate,10.42,17.46,620.4,33.9,33.0,50.7,122.2,42.7,11.0
lentil,8.97,16.37,701.0,30.5,35.2,36.7,40.0,48.1,1.68
cotton,24.13,28.89,701.2,59.0,45.1,27.8,129.7,45.4,2.56
maize,4.55,29.56,726.6,134.9,47.8,67.6,135.4,37.0,6.39
rice,1.72,28.23,1147.8,84.8,28.8,36.1,179.4,51.9,4.33
chickpea,3.4,26.51,565.8,37.0,45.4,35.4,102.8,46.0,1.78
jute,8.71,25.5,1431.9,67.4,36.0,46.8,166.1,58.1,1.93
watermelon,30.0,26.82,532.8,70.7,24.2,40.3,119.1,44.9,25.84
banana,6.68,28.4,1290.1,45.1,34.8,58.7,221.6,60.9,19.43
coconut,6.23,20.83,1643.6,69.8,22.4,51.6,143.0,78.1,6.63
muskmelon,19.77,22.25,502.1,67.6,29.8,23.2,124.9,30.0,13.56
mungbean,30.0,25.05,760.5,43.4,32.8,30.3,49.7,21.6,1.27
coffee,6.65,23.66,1435.8,63.9,36.1,42.6,100.4,87.1,1.82
mango,5.75,28.89,1172.7,58.8,33.3,62.7,102.8,27.3,9.84
watermelon,2.47,33.23,582.4,53.1,33.3,38.0,110.6,43.4,22.49
jute,10.74,33.99,1745.2,73.9,32.8,46.9,103.3,62.8,2.66
papaya,2.79,27.86,1297.5,47.8,37.2,79.3,176.5,82.2,29.6
apple,8.98,16.99,522.0,29.6,33.8,38.5,125.7,49.7,10.46
pigeonpeas,5.27,23.28,706.8,49.6,40.5,60.3,92.2,34.6,1.4
lentil,21.9,18.26,643.5,54.2,30.2,28.9,83.4,28.2,1.66
rice,9.03,23.17,1274.6,112.4,52.7,33.9,132.2,67.0,3.46
watermelon,9.34,30.65,544.5,62.7,24.3,31.4,77.3,31.5,27.39
pomegranate,3.36,27.49,456.3,60.0,26.6,49.3,79.1,58.8,11.02
jute,11.5,27.38,969.5,61.0,22.4,51.0,81.5,74.2,3.06
banana,12.31,28.1,1151.9,77.8,23.9,76.0,175.3,63.9,23.32
banana,28.58,29.85,1305.7,58.6,28.1,48.3,143.3,71.0,29.27
kidneybeans,14.86,22.82,893.7,41.6,40.5,11.6,105.9,46.2,1.26
rice,15.87,24.27,1447.1,85.2,44.3,33.9,128.1,72.5,3.69
mango,4.38,21.96,851.2,37.7,27.4,33.3,92.2,42.1,9.31
papaya,1.99,28.62,1045.1,67.9,35.1,92.6,90.3,57.1,34.81
muskmelon,2.72,29.53,655.4,43.6,26.3,44.1,72.3,44.2,18.91
jute,6.86,27.73,1272.8,71.3,26.5,49.3,143.4,49.3,3.11
muskmelon,3.36,25.32,635.5,77.1,30.5,41.2,101.8,39.9,21.11
mungbean,5.58,23.53,501.7,34.2,29.5,26.5,46.0,33.1,1.57
rice,9.02,26.01,1042.4,75.9,43.8,24.7,145.7,68.7,3.58
kidneybeans,9.12,22.51,648.7,49.2,22.9,35.2,115.9,40.9,2.22
kidneybeans,4.94,16.77,640.0,52.0,41.4,33.9,101.1,59.9,2.35
chickpea,14.1,22.7,651.9,40.2,35.3,45.3,117.5,30.4,2.37
grapes,12.45,23.31,725.5,33.2,32.4,41.5,95.4,52.6,8.39
mango,3.61,30.25,1484.8,60.0,25.5,74.1,83.5,60.1,6.1
papaya,11.31,21.3,1485.6,63.6,48.2,56.7,116.9,59.7,34.3
grapes,15.83,22.91,721.8,66.2,42.4,60.2,105.6,37.1,7.1
muskmelon,3.4,27.96,485.0,37.8,28.1,32.4,127.6,54.6,19.43
kidneybeans,4.3,28.53,746.2,47.6,41.1,16.8,116.1,30.4,1.32
papaya,4.5,28.27,1232.8,63.5,37.4,67.2,164.2,74.6,47.8
apple,9.93,20.0,822.3,40.1,21.6,36.2,65.0,42.0,13.99
blackgram,3.59,23.96,663.6,59.9,16.1,13.1,57.1,35.7,1.42
jute,10.55,24.02,1433.7,65.5,28.6,42.4,109.4,80.7,3.37
orange,4.51,21.77,1183.7,44.7,31.6,44.7,103.0,49.8,13.44
mungbean,8.42,32.12,354.4,37.9,36.8,26.8,61.1,18.5,1.35
mango,14.44,25.98,1059.4,60.1,33.0,58.2,132.6,66.9,9.95
mango,4.55,22.6,1201.2,58.1,26.0,52.1,131.3,55.2,8.71
mango,7.63,22.85,1270.2,49.8,32.8,52.0,82.1,61.3,10.68
mothbeans,13.49,35.29,683.9,43.3,29.7,12.3,45.2,39.8,0.85
maize,3.69,21.2,710.3,74.5,55.8,49.0,139.8,47.7,6.29
grapes,3.3,23.78,675.3,45.1,26.8,46.4,95.4,52.9,12.02
orange,8.31,17.61,740.0,39.5,24.7,49.7,93.3,55.1,10.53
banana,14.02,25.54,1104.4,62.8,34.0,69.3,158.0,82.1,33.25
blackgram,4.32,16.8,767.1,30.1,30.7,38.5,65.5,13.7,1.61
muskmelon,30.0,31.09,438.0,54.1,28.4,29.0,106.7,32.3,14.54
mothbeans,2.64,26.38,424.9,26.3,10.0,25.7,81.8,42.6,1.21
rice,15.75,26.22,1236.3,70.6,27.3,42.6,127.2,61.4,4.61
maize,12.48,28.39,928.8,76.4,46.5,34.6,158.0,45.3,6.83
blackgram,20.6,22.47,753.8,61.6,37.5,30.5,86.5,36.0,1.49
maize,4.27,28.51,533.1,73.0,48.4,44.5,141.2,42.5,7.26
apple,4.09,16.87,715.9,59.9,18.4,44.2,83.8,29.8,11.18
apple,3.41,20.49,545.3,58.8,29.6,53.8,108.1,25.6,12.09
